Ticker,Entry_Date,Entry_Price,Exit_Date,Exit_Price,Exit_Reason,PnL_Pct,PnL_Amount,Holding_Days
AARTIDRUGS,2016-10-18,158.39,2016-11-09,134.6315,SL,-15.0,-3750.0,15
ASTRAMICRO,2017-05-09,133.41,2017-08-02,127.51,TIMEOUT,-4.4225,-1105.61,60
VESUVIUS,2017-07-03,123.62,2017-09-27,124.65,TIMEOUT,0.8332,208.3,60
VESUVIUS,2017-07-05,130.18,2017-09-29,126.23,TIMEOUT,-3.0343,-758.57,60
VESUVIUS,2017-07-21,137.34,2017-10-18,128.26,TIMEOUT,-6.6113,-1652.83,60
GENUSPOWER,2017-09-18,48.12,2017-12-13,67.49,TIMEOUT,40.2535,10063.38,60
GENUSPOWER,2017-09-20,50.42,2017-12-15,67.68,TIMEOUT,34.2324,8558.11,60
GENUSPOWER,2017-09-21,51.83,2017-12-18,67.35,TIMEOUT,29.944,7486.01,60
GENUSPOWER,2017-09-29,53.23,2017-12-27,67.49,TIMEOUT,26.7894,6697.35,60
GENUSPOWER,2017-10-09,60.36,2018-01-03,70.68,TIMEOUT,17.0974,4274.35,60
DEEPAKNTR,2017-10-10,214.19,2018-01-04,225.39,TIMEOUT,5.229,1307.25,60
GENUSPOWER,2017-10-17,57.64,2018-01-11,75.14,TIMEOUT,30.3609,7590.22,60
TEXRAIL,2017-10-27,98.58,2018-01-22,98.45,TIMEOUT,-0.1319,-32.97,60
SKIPPER,2017-10-31,234.3,2018-01-24,245.49,TIMEOUT,4.7759,1193.98,60
GENUSPOWER,2017-11-02,62.15,2017-11-13,52.8275,SL,-15.0,-3750.0,7
BALAMINES,2017-11-06,542.39,2018-01-31,626.44,TIMEOUT,15.4962,3874.06,60
RTNPOWER,2017-11-09,6.7,2018-02-05,6.35,TIMEOUT,-5.2239,-1305.97,60
RTNPOWER,2017-11-10,7.3,2017-11-13,6.205,SL,-15.0,-3750.0,1
TEXRAIL,2017-11-14,102.77,2018-02-02,87.35449999999999,SL,-15.0,-3750.0,56
TEXRAIL,2017-11-16,99.99,2018-02-02,84.99149999999999,SL,-15.0,-3750.0,54
BALAMINES,2017-11-17,584.89,2018-02-14,639.13,TIMEOUT,9.2735,2318.38,60
RTNPOWER,2017-11-17,7.6,2018-02-05,6.46,SL,-15.0,-3750.0,54
RTNPOWER,2017-11-20,8.8,2017-11-30,7.48,SL,-15.0,-3750.0,8
TITAGARH,2017-11-21,164.17,2018-02-02,139.5445,SL,-15.0,-3750.0,51
BALAMINES,2017-11-23,618.81,2018-02-06,525.9884999999999,SL,-15.0,-3750.0,51
TITAGARH,2017-11-24,163.58,2018-02-02,139.043,SL,-15.0,-3750.0,48
TITAGARH,2017-11-27,175.03,2018-01-31,148.7755,SL,-15.0,-3750.0,45
SKIPPER,2017-11-27,265.06,2018-01-29,225.301,SL,-15.0,-3750.0,43
TEXRAIL,2017-11-28,112.79,2017-12-13,95.8715,SL,-15.0,-3750.0,11
BALAMINES,2017-12-04,601.21,2018-03-01,601.78,TIMEOUT,0.0948,23.7,60
RTNPOWER,2017-12-07,8.8,2018-01-10,7.48,SL,-15.0,-3750.0,23
AARTIDRUGS,2018-01-04,180.56,2018-01-31,153.476,SL,-15.0,-3750.0,18
BALAMINES,2018-01-11,695.7,2018-02-02,591.345,SL,-15.0,-3750.0,15
RTNPOWER,2018-01-12,8.25,2018-02-01,7.0125,SL,-15.0,-3750.0,13
ASTRAMICRO,2018-04-24,93.53,2018-07-18,93.63,TIMEOUT,0.1069,26.73,60
PRIVISCL,2018-09-10,345.25,2018-09-25,293.4625,SL,-15.0,-3750.0,9
AARTIDRUGS,2018-09-14,156.48,2018-09-21,133.00799999999998,SL,-15.0,-3750.0,4
MUTHOOTFIN,2018-09-19,402.53,2018-09-28,342.15049999999997,SL,-15.0,-3750.0,6
MUTHOOTFIN,2018-12-19,440.47,2019-03-18,518.57,TIMEOUT,17.7311,4432.77,60
CGPOWER,2019-03-01,36.16,2019-06-04,35.07,TIMEOUT,-3.0144,-753.6,60
CGPOWER,2019-03-11,38.18,2019-06-07,32.452999999999996,SL,-15.0,-3750.0,57
CGPOWER,2019-03-12,42.13,2019-04-22,35.810500000000005,SL,-15.0,-3750.0,25
LAURUSLABS,2019-03-14,73.26,2019-06-17,66.21,TIMEOUT,-9.6233,-2405.81,60
LAURUSLABS,2019-03-27,77.63,2019-06-12,65.98549999999999,SL,-15.0,-3750.0,49
AARTIIND,2019-03-27,377.33,2019-06-27,422.84,TIMEOUT,12.0611,3015.27,60
LAURUSLABS,2019-04-08,77.46,2019-06-13,65.841,SL,-15.0,-3750.0,43
VESUVIUS,2019-05-10,109.97,2019-08-05,96.35,TIMEOUT,-12.3852,-3096.3,60
PRIVISCL,2019-05-16,371.92,2019-08-09,390.07,TIMEOUT,4.8801,1220.02,60
PRIVISCL,2019-05-17,387.98,2019-08-13,388.51,TIMEOUT,0.1366,34.15,60
PRIVISCL,2019-05-21,412.23,2019-08-05,350.3955,SL,-15.0,-3750.0,53
LAURUSLABS,2019-12-05,66.92,2020-03-02,81.02,TIMEOUT,21.0699,5267.48,60
FDC,2019-12-06,200.71,2020-03-03,223.67,TIMEOUT,11.4394,2859.85,60
APARINDS,2020-01-09,372.07,2020-02-28,316.2595,SL,-15.0,-3750.0,35
APARINDS,2020-01-14,402.56,2020-02-26,342.176,SL,-15.0,-3750.0,30
APARINDS,2020-01-22,411.42,2020-02-25,349.707,SL,-15.0,-3750.0,23
TEXRAIL,2020-01-30,37.79,2020-02-03,32.1215,SL,-15.0,-3750.0,2
ASTRAMICRO,2020-02-03,88.41,2020-03-11,75.1485,SL,-15.0,-3750.0,25
IRCON,2020-02-13,41.76,2020-03-04,35.495999999999995,SL,-15.0,-3750.0,13
IRCON,2020-02-14,43.75,2020-03-04,37.1875,SL,-15.0,-3750.0,12
PRIVISCL,2020-02-17,482.57,2020-03-12,410.18449999999996,SL,-15.0,-3750.0,16
DEEPAKNTR,2020-02-18,469.95,2020-03-12,399.4575,SL,-15.0,-3750.0,15
IRCON,2020-02-19,46.61,2020-03-02,39.6185,SL,-15.0,-3750.0,7
SOLARA,2020-02-24,694.1,2020-03-02,589.985,SL,-15.0,-3750.0,5
FDC,2020-02-24,249.66,2020-03-06,212.21099999999998,SL,-15.0,-3750.0,9
DEEPAKNTR,2020-02-25,492.97,2020-03-12,419.0245,SL,-15.0,-3750.0,11
PRIVISCL,2020-02-26,514.35,2020-03-06,437.1975,SL,-15.0,-3750.0,7
DEEPAKNTR,2020-03-02,491.76,2020-03-12,417.996,SL,-15.0,-3750.0,7
FDC,2020-03-05,234.48,2020-03-12,199.308,SL,-15.0,-3750.0,4
APARINDS,2020-03-17,294.64,2020-03-23,250.444,SL,-15.0,-3750.0,4
IRCON,2020-03-26,29.65,2020-06-26,36.64,TIMEOUT,23.575,5893.76,60
FDC,2020-04-03,195.69,2020-07-03,260.04,TIMEOUT,32.8836,8220.91,60
IRCON,2020-04-03,36.76,2020-07-03,37.06,TIMEOUT,0.8161,204.03,60
DEEPAKNTR,2020-04-07,425.06,2020-07-06,507.29,TIMEOUT,19.3455,4836.38,60
PRIVISCL,2020-04-07,346.24,2020-07-06,438.82,TIMEOUT,26.7387,6684.67,60
FDC,2020-04-09,233.41,2020-07-08,242.36,TIMEOUT,3.8345,958.61,60
DEEPAKNTR,2020-04-09,461.97,2020-07-08,505.18,TIMEOUT,9.3534,2338.36,60
CHOLAFIN,2020-04-17,174.29,2020-04-21,148.1465,SL,-15.0,-3750.0,2
LAURUSLABS,2020-04-21,89.09,2020-07-16,122.56,TIMEOUT,37.5688,9392.19,60
FDC,2020-04-22,239.86,2020-07-17,263.22,TIMEOUT,9.739,2434.75,60
MUTHOOTFIN,2020-04-23,747.52,2020-07-20,1124.75,TIMEOUT,50.4642,12616.05,60
LAURUSLABS,2020-04-24,96.72,2020-07-21,127.25,TIMEOUT,31.5653,7891.34,60
FDC,2020-04-24,254.52,2020-07-21,265.76,TIMEOUT,4.4162,1104.04,60
BALAMINES,2020-04-27,432.83,2020-05-11,367.90549999999996,SL,-15.0,-3750.0,9
CESC,2020-04-29,47.48,2020-07-24,43.95,TIMEOUT,-7.4347,-1858.68,60
DEEPAKNTR,2020-04-29,498.49,2020-07-24,582.79,TIMEOUT,16.9111,4227.77,60
AARTIIND,2020-05-05,559.86,2020-05-29,475.881,SL,-15.0,-3750.0,17
DEEPAKNTR,2020-05-05,502.13,2020-07-29,604.46,TIMEOUT,20.3792,5094.8,60
CHOLAFIN,2020-05-06,148.08,2020-05-18,125.86800000000001,SL,-15.0,-3750.0,8
AARTIDRUGS,2020-05-07,186.85,2020-06-23,298.96,TP,60.0,15000.0,32
FDC,2020-05-07,246.66,2020-07-31,292.34,TIMEOUT,18.5194,4629.85,60
ENDURANCE,2020-05-11,622.8,2020-08-04,906.44,TIMEOUT,45.5427,11385.68,60
AARTIDRUGS,2020-05-14,205.18,2020-07-08,328.288,TP,60.0,15000.0,38
BALAMINES,2020-05-15,387.84,2020-07-14,620.544,TP,60.0,15000.0,41
AARTIDRUGS,2020-05-28,230.05,2020-07-17,368.08000000000004,TP,60.0,15000.0,36
ENDURANCE,2020-05-28,661.01,2020-08-20,1030.68,TIMEOUT,55.925,13981.26,60
AARTIDRUGS,2020-05-29,238.74,2020-07-24,381.98400000000004,TP,60.0,15000.0,40
ENDURANCE,2020-05-29,712.22,2020-08-21,1020.48,TIMEOUT,43.2816,10820.39,60
SKIPPER,2020-06-03,31.13,2020-06-24,49.808,TP,60.0,15000.0,15
BHARATFORG,2020-06-08,349.26,2020-06-30,296.871,SL,-15.0,-3750.0,16
POONAWALLA,2020-06-12,18.29,2020-06-26,29.264,TP,60.0,15000.0,10
LAURUSLABS,2020-06-15,99.37,2020-07-31,158.99200000000002,TP,60.0,15000.0,34
AARTIDRUGS,2020-06-16,246.37,2020-07-27,394.192,TP,60.0,15000.0,29
CHOLAFIN,2020-06-17,166.0,2020-09-09,217.66,TIMEOUT,31.1205,7780.12,60
AARTIDRUGS,2020-06-17,258.79,2020-07-27,414.0640000000001,TP,60.0,15000.0,28
ASTRAMICRO,2020-06-18,91.12,2020-09-10,119.36,TIMEOUT,30.9921,7748.02,60
LAURUSLABS,2020-06-19,104.48,2020-07-31,167.168,TP,60.0,15000.0,30
PRIVISCL,2020-06-19,446.64,2020-09-11,555.39,TIMEOUT,24.3485,6087.12,60
LAURUSLABS,2020-06-22,112.43,2020-07-31,179.88800000000003,TP,60.0,15000.0,29
FDC,2020-06-22,266.64,2020-09-14,337.25,TIMEOUT,26.4814,6620.35,60
FDC,2020-06-23,282.28,2020-07-09,239.93799999999996,SL,-15.0,-3750.0,12
GENUSPOWER,2020-06-25,23.49,2020-09-17,28.45,TIMEOUT,21.1154,5278.84,60
POONAWALLA,2020-06-25,28.13,2020-07-03,23.9105,SL,-15.0,-3750.0,6
ASTRAMICRO,2020-06-25,95.97,2020-09-17,120.88,TIMEOUT,25.956,6489.01,60
BALAMINES,2020-06-26,512.6,2020-08-17,820.1600000000001,TP,60.0,15000.0,36
ASTRAMICRO,2020-06-30,102.51,2020-09-22,117.41,TIMEOUT,14.5352,3633.79,60
BALAMINES,2020-07-01,529.24,2020-08-19,846.7840000000001,TP,60.0,15000.0,35
PRIVISCL,2020-07-01,456.67,2020-09-23,534.23,TIMEOUT,16.9838,4245.95,60
PIGL,2020-07-06,10.32,2020-09-28,10.28,TIMEOUT,-0.3876,-96.9,60
GENUSPOWER,2020-07-06,24.46,2020-08-03,20.791,SL,-15.0,-3750.0,20
GENUSPOWER,2020-07-07,25.82,2020-07-28,21.947,SL,-15.0,-3750.0,15
ASTRAMICRO,2020-07-08,111.04,2020-09-30,114.37,TIMEOUT,2.9989,749.73,60
PRIVISCL,2020-07-08,463.69,2020-09-30,553.91,TIMEOUT,19.457,4864.24,60
PRIVISCL,2020-07-10,479.94,2020-10-05,563.82,TIMEOUT,17.4772,4369.3,60
LAURUSLABS,2020-07-10,117.09,2020-08-03,187.34400000000002,TP,60.0,15000.0,16
ASTRAMICRO,2020-07-10,118.65,2020-07-28,100.8525,SL,-15.0,-3750.0,12
SOLARA,2020-07-13,692.21,2020-09-30,1107.536,TP,60.0,15000.0,57
LAURUSLABS,2020-07-13,122.19,2020-08-03,195.50400000000002,TP,60.0,15000.0,15
AARTIDRUGS,2020-07-15,348.56,2020-08-07,557.696,TP,60.0,15000.0,17
FDC,2020-07-23,269.72,2020-10-16,340.27,TIMEOUT,26.1568,6539.19,60
LAURUSLABS,2020-07-23,140.66,2020-08-11,225.056,TP,60.0,15000.0,13
FDC,2020-07-29,274.65,2020-10-22,343.55,TIMEOUT,25.0865,6271.62,60
FDC,2020-07-30,280.71,2020-10-23,339.0,TIMEOUT,20.7652,5191.3,60
LAURUSLABS,2020-07-30,154.77,2020-09-10,247.63200000000003,TP,60.0,15000.0,30
LAURUSLABS,2020-07-31,182.77,2020-09-18,292.432,TP,60.0,15000.0,35
SOLARA,2020-08-03,900.96,2020-10-27,1119.04,TIMEOUT,24.2053,6051.32,60
LAURUSLABS,2020-08-03,197.15,2020-10-07,315.44000000000005,TP,60.0,15000.0,46
POONAWALLA,2020-08-03,26.65,2020-10-22,42.64,TP,60.0,15000.0,57
BALAMINES,2020-08-03,604.71,2020-08-26,967.5360000000001,TP,60.0,15000.0,17
FDC,2020-08-03,312.13,2020-10-27,341.89,TIMEOUT,9.5345,2383.62,60
AARTIDRUGS,2020-08-05,462.06,2020-08-21,739.296,TP,60.0,15000.0,12
AARTIDRUGS,2020-08-06,544.83,2020-08-25,871.7280000000001,TP,60.0,15000.0,13
POONAWALLA,2020-08-06,30.75,2020-10-30,36.34,TIMEOUT,18.1789,4544.72,60
DEEPAKNTR,2020-08-07,600.82,2020-11-02,706.11,TIMEOUT,17.5244,4381.1,60
AARTIDRUGS,2020-08-07,578.65,2020-10-08,925.84,TP,60.0,15000.0,43
BALAMINES,2020-08-10,639.49,2020-11-03,787.23,TIMEOUT,23.1028,5775.7,60
RTNPOWER,2020-08-10,3.3,2020-09-17,2.8049999999999997,SL,-15.0,-3750.0,28
SOLARA,2020-08-10,974.39,2020-11-03,1096.41,TIMEOUT,12.5227,3130.68,60
PRIVISCL,2020-08-11,565.8,2020-11-04,541.03,TIMEOUT,-4.3779,-1094.47,60
ASTRAMICRO,2020-08-12,117.0,2020-11-05,106.25,TIMEOUT,-9.188,-2297.01,60
ASTRAMICRO,2020-08-13,123.89,2020-10-22,105.3065,SL,-15.0,-3750.0,49
BALAMINES,2020-08-14,700.49,2020-11-09,848.68,TIMEOUT,21.1552,5288.8,60
AARTIDRUGS,2020-08-17,569.09,2020-08-25,910.5440000000001,TP,60.0,15000.0,6
BALAMINES,2020-08-17,805.6,2020-11-10,853.61,TIMEOUT,5.9595,1489.88,60
POONAWALLA,2020-08-19,33.92,2020-11-12,46.72,TIMEOUT,37.7358,9433.96,60
AARTIDRUGS,2020-08-20,699.56,2020-11-13,682.66,TIMEOUT,-2.4158,-603.95,60
POONAWALLA,2020-08-20,36.39,2020-11-13,46.53,TIMEOUT,27.8648,6966.2,60
RTNPOWER,2020-08-20,4.1,2020-08-28,3.4849999999999994,SL,-15.0,-3750.0,6
AARTIDRUGS,2020-08-21,769.51,2020-08-31,654.0835,SL,-15.0,-3750.0,6
LAURUSLABS,2020-08-21,223.43,2020-11-14,284.49,TIMEOUT,27.3285,6832.12,60
SOLARA,2020-08-21,976.43,2020-11-14,1067.56,TIMEOUT,9.333,2333.24,60
PRIVISCL,2020-08-21,548.55,2020-11-14,534.71,TIMEOUT,-2.523,-630.75,60
APARINDS,2020-08-21,330.96,2020-09-22,281.316,SL,-15.0,-3750.0,22
LAURUSLABS,2020-08-24,232.98,2020-11-17,274.47,TIMEOUT,17.8084,4452.1,60
TEXRAIL,2020-08-24,29.94,2020-09-07,25.449,SL,-15.0,-3750.0,10
BALAMINES,2020-08-26,949.29,2020-08-31,806.8965,SL,-15.0,-3750.0,3
POONAWALLA,2020-08-27,39.8,2020-09-04,33.83,SL,-15.0,-3750.0,6
CGPOWER,2020-09-10,22.82,2020-11-14,36.512,TP,60.0,15000.0,46
SOLARA,2020-09-11,974.34,2020-12-08,1253.37,TIMEOUT,28.6378,7159.46,60
BALAMINES,2020-09-14,856.15,2020-09-22,727.7275,SL,-15.0,-3750.0,6
DEEPAKNTR,2020-09-15,842.75,2020-10-12,716.3375,SL,-15.0,-3750.0,18
SOLARA,2020-09-18,1049.05,2020-12-15,1232.95,TIMEOUT,17.5301,4382.54,60
SOLARA,2020-09-28,999.46,2020-12-23,1193.32,TIMEOUT,19.3965,4849.12,60
LAURUSLABS,2020-09-28,286.1,2020-12-23,338.17,TIMEOUT,18.1999,4549.98,60
SOLARA,2020-09-30,1070.59,2020-12-28,1186.53,TIMEOUT,10.8295,2707.39,60
SOLARA,2020-10-07,1161.67,2020-11-10,987.4195000000001,SL,-15.0,-3750.0,24
SOLARA,2020-10-08,1200.03,2020-11-10,1020.0255,SL,-15.0,-3750.0,23
CGPOWER,2020-12-11,44.06,2021-01-25,37.451,SL,-15.0,-3750.0,30
RTNPOWER,2020-12-14,2.3,2020-12-21,1.9549999999999998,SL,-15.0,-3750.0,5
RTNPOWER,2020-12-17,2.35,2020-12-21,1.9975,SL,-15.0,-3750.0,2
RTNPOWER,2020-12-23,2.45,2021-01-06,3.9200000000000004,TP,60.0,15000.0,9
VESUVIUS,2020-12-29,110.06,2021-03-19,93.551,SL,-15.0,-3750.0,56
RTNPOWER,2021-01-04,2.8,2021-04-01,2.65,TIMEOUT,-5.3571,-1339.29,60
TEXRAIL,2021-01-05,30.42,2021-02-04,25.857,SL,-15.0,-3750.0,21
RTNPOWER,2021-01-05,3.35,2021-02-11,2.8475,SL,-15.0,-3750.0,26
RTNPOWER,2021-01-06,4.0,2021-01-11,3.4,SL,-15.0,-3750.0,3
RVNL,2021-01-08,28.86,2021-01-27,24.531,SL,-15.0,-3750.0,12
TEXRAIL,2021-01-13,31.81,2021-01-25,27.0385,SL,-15.0,-3750.0,8
PIGL,2021-01-25,14.05,2021-02-25,22.480000000000004,TP,60.0,15000.0,22
APARINDS,2021-02-10,372.04,2021-05-12,477.24,TIMEOUT,28.2765,7069.13,60
APARINDS,2021-02-11,395.41,2021-05-14,476.05,TIMEOUT,20.394,5098.51,60
POONAWALLA,2021-02-25,111.49,2021-05-28,128.26,TIMEOUT,15.0417,3760.43,60
GENUSPOWER,2021-03-09,51.43,2021-04-19,43.7155,SL,-15.0,-3750.0,25
IRCON,2021-03-30,36.68,2021-06-28,40.94,TIMEOUT,11.614,2903.49,60
PIGL,2021-04-08,41.7,2021-05-20,66.72000000000001,TP,60.0,15000.0,27
PIGL,2021-04-13,45.92,2021-05-24,73.47200000000001,TP,60.0,15000.0,26
PIGL,2021-04-28,52.62,2021-05-27,84.19200000000001,TP,60.0,15000.0,20
PIGL,2021-05-18,61.3,2021-07-14,52.105,SL,-15.0,-3750.0,41
